name,link,price,price_currency,mileage,fuel_type,year,gearbox,horsepower,location,image_url,engine_capacity
Mercedes-Benz Klasa V,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-klasa-v-250d-dluga-salon-polska-fv23-certified-ID6GC9Y0.html,269 900,PLN,32 500 km,Diesel,2023 ,Automatyczna,190,Janki (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9ueXZhN2w3M29vaDItT1RPTU9UT1BMIn0.pcqOXGqi6QMUcBN68B0ScjeJVH9JRiwI0jnh-kSzXE4/image;s=644x461,1 950 cm3
BMW Seria 5 530i,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-niska-akcyza-2-0-252-km-xdrive-niski-koszt-naprawy-ID6GDdxo.html,74 900,PLN,138 863 km,Benzyna,2018 ,Automatyczna,252,Łódź (Łódzkie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlsOHczOXc1am10czMtT1RPTU9UT1BMIn0.dYY0NUvrPUHxqSRYL3Y_iXAiHY-B7B9BlNcaDP65YY0/image;s=320x240,1 998 cm3
BMW Seria 3,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-stan-idealny-salon-polska-bezwypadkowy-cesja-4-letnia-gwarancja-ID6FFs5E.html,270 000,PLN,56 800 km,Diesel,2022 ,Automatyczna,340,Toruń (Kujawsko-pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1oemk3NDF3cjJ2ZzEtT1RPTU9UT1BMIn0.HBUcii92-e98VLXGReO7DQJ2VtyLRuRjM9g3J1N95os/image;s=320x240,2 993 cm3
Audi A5 2.0 TFSI Quattro S tronic,https://www.otomoto.pl/osobowe/oferta/audi-a5-2-0-211kmquattroautomatbang-olufsenbixenonstyling-rs5150-oookm-ID6GC9WS.html,45 900,PLN,150 000 km,Benzyna,2010 ,Automatyczna,211,Nowy Dwór Gdański (Pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims3bTB3cDVuOTJldDMtT1RPTU9UT1BMIn0.xWIFidRU1YDiGnL7WWQcBVNy91RwjvQCcla4ntQGtBk/image;s=320x240,1 984 cm3
Mercedes-Benz Klasa V,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-klasa-v-300d-4matic-extra-dluga-pakiet-amg-airmatic-fv23-certified-ID6GC9X4.html,504 900,PLN,3 600 km,Diesel,2023 ,Automatyczna,239,Janki (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im92YzgzenQ3aWRncDItT1RPTU9UT1BMIn0.flukZ5aminNLZ2KiecpQySCH3MHpjr-4JlgWGJt3Cyk/image;s=644x461,1 950 cm3
Mercedes-Benz Klasa V,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-klasa-v-250d-dluga-salon-polska-fv23-certified-ID6GC9VR.html,269 900,PLN,23 500 km,Diesel,2023 ,Automatyczna,190,Janki (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNqeTNhcTB4a3NveTItT1RPTU9UT1BMIn0.1VJ6pInXL0ONMF-aD7CpCQkdaZvS35z7vmSCIwQkQFk/image;s=644x461,1 950 cm3
Volvo S40 2.4i Summum,https://www.otomoto.pl/osobowe/oferta/volvo-s40-volvo-s40-2-4-170-ps-od-kobiety-ID6GC9Vm.html,18 900,PLN,270 000 km,Benzyna,2004 ,Automatyczna,170,Żory (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inpxc3FuNnJhdDF0ZjMtT1RPTU9UT1BMIn0.-4AijA9dghroUmryIPgioWRoUFZ9359F36dV_xPlfqs/image;s=320x240,2 435 cm3
Nissan Micra,https://www.otomoto.pl/osobowe/oferta/nissan-micra-1-2-gaz-lpg-klimatyzacja-2004-ID6GBRD5.html,3 700,PLN,195 000 km,Benzyna+LPG,2004 ,Manualna,80,Kraków (Małopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlzeXAzbzQzM2R1azEtT1RPTU9UT1BMIn0.enrpgiv4x45TfSS5ZGxOxRXNCO5bdSr-B3xO-yPD3tg/image;s=320x240,1 240 cm3
Volkswagen Caddy Maxi 1.6 TDI Highline,https://www.otomoto.pl/osobowe/oferta/volkswagen-caddy-maxi-7-osob-navi-kamera-serwis-ID6GBVND.html,37 900,PLN,228 000 km,Diesel,2014 ,Manualna,102,Ostrów Mazowiecka (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijh0cjZ3YXM1ZGx4cDMtT1RPTU9UT1BMIn0.UPPO-CeAtlq6U7ek_Nb4auHsvWH9J9xLktG-bGlHw8Y/image;s=320x240,1 598 cm3
Daihatsu Sirion 1.0,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-10-alu-klima-z-niemiec-ID6GC9Wz.html,11 900,PLN,180 000 km,Benzyna,2010 ,Manualna,70,Solnica (Pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzam1oOXNmOWtyZS1PVE9NT1RPUEwifQ.a_heGuoPaLyhZgbBqioLeXCtPNCcMX5gRyzOdb8X8Nw/image;s=320x240,998 cm3
